time,I,nv,c1,c2,ar,V_tot,kind,net_type
7,18.84,500,304.406,304.406,102,772,mean,dynamic
7,12.6,500,24.664,24.664,60,79.082,std,dynamic
8,21.66,500,295.625,295.625,102,772,mean,dynamic
8,14.95,500,18.038,18.038,60,79.082,std,dynamic
0,5.0,600,0.0,0.0,126,799,mean,static
0,0.0,600,0.0,0.0,70,62.687,std,static
1,5.84,600,346.938,346.938,126,799,mean,static
1,1.28,600,30.767,30.767,70,62.687,std,static
2,8.44,600,458.969,458.969,126,799,mean,static
2,3.52,600,30.438,30.438,70,62.687,std,static
3,11.97,600,523.281,523.281,126,799,mean,static
3,5.55,600,24.178,24.178,70,62.687,std,static
4,15.66,600,540.0,540.0,126,799,mean,static
4,8.11,600,20.29,20.29,70,62.687,std,static
5,19.34,600,538.188,538.188,126,799,mean,static
5,11.25,600,22.945,22.945,70,62.687,std,static
6,22.06,600,535.125,535.125,126,799,mean,static
6,14.37,600,18.653,18.653,70,62.687,std,static
7,25.31,600,513.062,513.062,126,799,mean,static
7,17.14,600,22.234,22.234,70,62.687,std,static
8,29.31,600,502.906,502.906,126,799,mean,static
8,20.15,600,21.457,21.457,70,62.687,std,static
9,32.41,600,481.75,481.75,126,799,mean,static
9,21.8,600,22.876,22.876,70,62.687,std,static
10,34.12,600,459.844,459.844,126,799,mean,static
10,23.13,600,26.5,26.5,70,62.687,std,static
11,34.19,600,445.781,445.781,126,799,mean,static
11,23.31,600,29.993,29.993,70,62.687,std,static
12,36.12,600,423.594,423.594,126,799,mean,static
12,24.11,600,25.407,25.407,70,62.687,std,static
13,37.78,600,408.719,408.719,126,799,mean,static
13,24.42,600,30.11,30.11,70,62.687,std,static
14,39.09,600,387.719,387.719,126,799,mean,static
14,25.36,600,29.23,29.23,70,62.687,std,static
15,38.5,600,373.406,373.406,126,799,mean,static
15,25.52,600,30.368,30.368,70,62.687,std,static
16,39.0,600,356.656,356.656,126,799,mean,static
16,25.36,600,32.671,32.671,70,62.687,std,static
17,38.88,600,345.906,345.906,126,799,mean,static
17,25.18,600,35.95,35.95,70,62.687,std,static
18,38.34,600,330.094,330.094,126,799,mean,static
18,24.8,600,35.358,35.358,70,62.687,std,static
19,37.09,600,317.469,317.469,126,799,mean,static
19,23.03,600,38.393,38.393,70,62.687,std,static
20,33.94,600,306.688,306.688,126,799,mean,static
20,21.07,600,38.429,38.429,70,62.687,std,static
21,32.06,600,296.156,296.156,126,799,mean,static
21,19.69,600,44.414,44.414,70,62.687,std,static
22,29.28,600,284.094,284.094,126,799,mean,static
22,18.42,600,43.692,43.692,70,62.687,std,static
0,5.0,600,0.0,0.0,124,753,mean,dynamic
0,0.0,600,0.0,0.0,66,53.943,std,dynamic
